SRNO,Accident_Location,Latitude,Longitude
80.0,Runvalla,21.109764,73.129006
81.0,Magdalla,21.134875,72.755131
82.0,Runvalla,21.109967,73.132847
83.0,Bardoli ,21.106475,73.111081
84.0,Magdalla,21.134875,72.755131
85.0,Chorvad ,21.130978,73.461114
86.0,Ghabheni,21.105325,72.853147
87.0,Sonarpada ,21.163475,73.550508
88.0,Kikakui ,21.140736,73.497425
89.0,Vanesa,21.101569,73.067136
90.0,Kikakui,21.140117,73.494614
91.0,Kakrapar,21.126092,73.396006
92.0,Bardoli,21.108008,73.118603
93.0,Doswada,21.148114,73.520092
94.0,Bardoli,21.104239,73.103789
95.0,Damka,21.1801,72.684694
96.0,Tadkuva,21.125972,73.409478
97.0,Kikakui,21.139575,73.492781
98.0,Vanz,21.090364,72.892356
99.0,Aafva,21.106667,73.156561
100.0,Katasvan,21.126233,73.371942
101.0,Mirkot,21.174522,73.616267
102.0,Hazira,21.152342,72.662419
103.0,Chorvad,21.131806,73.469017
104.0,Magdalla,21.153628,72.741328
105.0,Magdalla,21.132639,72.758139
106.0,Virpur,21.130742,73.456789
107.0,Vyara,21.104769,73.349669
108.0,Borakhadi   ,21.097436,73.306317
109.0,Ghaluda ,21.090978,73.011397
110.0,Kakrapar,21.126228,73.38205
111.0,Pakhri,21.183353,73.590544
112.0,Tichakpura ,21.100483,73.340292
113.0,Vanz,21.091706,72.913717
114.0,Hazira ,21.154544,72.66295
115.0,Bhatia ,21.085219,72.936942
116.0,Vanz,21.091706,72.913717
117.0,Vanz,21.0901,72.906233
118.0,Maypur,21.099239,73.325944
119.0,Sonarpada,21.161303,73.5447
120.0,Khusalpura,21.126231,73.382531
121.0,Hazira,21.126236,72.644869
122.0,Magdalla,21.150431,72.743114
123.0,Runvalla,21.109822,73.129964
124.0,Mirkot,21.170381,73.626369
125.0,Mirkot,21.170833,73.625319
126.0,Taraj,21.086206,72.953642
127.0,Songadh RTO,21.1716,73.576181
128.0,Mora ,21.177003,72.668344
129.0,Khushalpura,21.124675,73.365453
130.0,Magdalla,21.149258,72.743839
131.0,Sonarpada,21.161097,73.544269
132.0,Gandhinagar,21.161503,73.709836
133.0,Maypur,21.098783,73.319228
134.0,Sachin,21.097119,72.874089
135.0,Vanz,21.089325,72.898617
136.0,Dundi,21.120558,72.804839
137.0,Doswada ,21.147511,73.5188
138.0,Gandhinagar,21.163042,73.700422
139.0,Bhatia,21.091306,72.918481
140.0,Bhimrad ,21.108411,72.844931
141.0,Kikakui,21.140217,73.495083
142.0,Khushalpura,21.115822,73.356211
143.0,Borkhadi,21.098069,73.311567
144.0,Songadh ,21.164075,73.555711
145.0,Vanesa,21.101661,73.083975
146.0,Navi Kikvad ,21.104931,73.169886
147.0,Magdalla ,21.146144,72.745786
148.0,Gandinagar,21.161542,73.707428
149.0,Pokharan,21.150642,73.525419
150.0,Manekpor,21.100747,73.229033
151.0,Nandida,21.101661,73.083975
152.0,Zaranpada,21.164719,73.640053
153.0,Mandal ,21.132911,73.472378
154.0,Chorvad ,21.131719,73.468744
155.0,Palsana ,21.087353,72.994061
156.0,Vanesa ,21.101561,73.065692
157.0,Manekpor,21.099231,73.237539
158.0,Taraj ,21.086317,72.959122
159.0,Tichakpura,21.099353,73.328831
160.0,Sachin,21.098036,72.881225
161.0,Dundi,21.118472,72.817364
162.0,Ena,21.103361,73.038344
163.0,Gabheni,21.105875,72.851619
164.0,Mirkot,21.172564,73.620047
165.0,Manekpor,21.0987,73.240861
166.0,Maypur,21.099658,73.333631
167.0,Magdalla,21.145367,72.746278
168.0,Kikakui,21.142297,73.50295
169.0,Palasana,21.101661,73.083975
170.0,Magdalla,21.154861,72.740731
171.0,Khajod,21.120008,72.790908
172.0,Manekpor,21.099303,73.237064
173.0,Bardoli,21.106475,73.111081
174.0,Bhatpor,21.172311,72.732892
175.0,Ichhapore,21.179814,72.728472
176.0,Gabheni,21.103708,72.857947
177.0,Gabheni,21.107222,72.84805
178.0,Sejvad,21.103172,73.217783
179.0,Magdalla,21.154042,72.741133
180.0,Hindoliya,21.106614,73.196022
181.0,Magdalla,21.146531,72.745542
182.0,Hindoliya,21.106231,73.198881
183.0,Magdalla ,21.141875,72.748494
184.0,Tichakpura ,21.103181,73.347744
185.0,Sachin ,21.100453,72.867436
